id,y
0,2
1,0
2,0
3,0
4,0
5,2
6,0
7,2
8,0
9,0
10,0
11,0
12,0
13,3
14,2
15,0
16,1
17,2
18,0
19,0
20,2
21,0
22,0
23,2
24,0
25,2
26,0
27,0
28,2
29,2
30,0
31,2
32,0
33,2
34,0
35,0
36,0
37,2
38,2
39,2
40,0
41,0
42,2
43,2
44,2
45,0
46,0
47,0
48,2
49,2
50,0
51,0
52,0
53,3
54,0
55,0
56,0
57,0
58,2
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,2
75,0
76,0
77,0
78,0
79,0
80,0
81,2
82,0
83,0
84,0
85,2
86,2
87,0
88,0
89,0
90,0
91,0
92,2
93,2
94,0
95,0
96,2
97,1
98,0
99,0
100,2
101,0
102,0
103,0
104,0
105,0
106,2
107,0
108,0
109,0
110,0
111,0
112,2
113,0
114,0
115,2
116,2
117,2
118,0
119,2
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,2
129,0
130,2
131,2
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,2
140,1
141,0
142,0
143,2
144,0
145,2
146,0
147,0
148,2
149,2
150,2
151,1
152,2
153,2
154,2
155,0
156,3
157,2
158,2
159,0
160,2
161,2
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,2
170,0
171,2
172,2
173,2
174,2
175,0
176,3
177,0
178,0
179,0
180,2
181,2
182,2
183,2
184,0
185,2
186,0
187,0
188,2
189,0
190,0
191,0
192,2
193,0
194,2
195,2
196,0
197,0
198,2
199,2
200,2
201,0
202,0
203,2
204,2
205,0
206,0
207,0
208,0
209,2
210,0
211,0
212,0
213,2
214,0
215,2
216,0
217,0
218,0
219,0
220,2
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,2
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,2
239,0
240,0
241,0
242,0
243,0
244,0
245,2
246,0
247,2
248,2
249,0
250,0
251,0
252,2
253,0
254,0
255,2
256,0
257,0
258,0
259,0
260,2
261,0
262,2
263,2
264,0
265,3
266,0
267,0
268,0
269,0
270,2
271,0
272,0
273,2
274,0
275,0
276,2
277,0
278,2
279,2
280,0
281,2
282,0
283,0
284,0
285,0
286,0
287,2
288,0
289,0
290,0
291,0
292,2
293,0
294,2
295,0
296,0
297,0
298,1
299,0
300,0
301,0
302,0
303,0
304,2
305,0
306,0
307,0
308,2
309,0
310,2
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,2
321,0
322,2
323,2
324,0
325,0
326,0
327,2
328,2
329,0
330,1
331,0
332,0
333,2
334,0
335,0
336,2
337,0
338,0
339,0
340,0
341,0
342,0
343,3
344,0
345,0
346,0
347,0
348,2
349,2
350,2
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,2
364,0
365,0
366,2
367,0
368,0
369,0
370,0
371,0
372,0
373,2
374,0
375,0
376,0
377,0
378,3
379,0
380,0
381,0
382,0
383,2
384,0
385,0
386,0
387,0
388,2
389,0
390,0
391,0
392,2
393,0
394,2
395,2
396,2
397,0
398,0
399,0
400,2
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,2
414,2
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,1
425,0
426,0
427,0
428,0
429,2
430,2
431,2
432,0
433,0
434,0
435,0
436,0
437,2
438,2
439,0
440,3
441,0
442,0
443,0
444,2
445,0
446,0
447,2
448,0
449,0
450,2
451,0
452,0
453,0
454,2
455,2
456,2
457,0
458,0
459,2
460,0
461,0
462,0
463,2
464,0
465,2
466,2
467,2
468,0
469,2
470,0
471,3
472,2
473,0
474,0
475,0
476,3
477,2
478,0
479,0
480,2
481,0
482,0
483,2
484,2
485,0
486,2
487,2
488,1
489,0
490,0
491,0
492,2
493,0
494,2
495,0
496,1
497,2
498,2
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,2
511,0
512,0
513,0
514,2
515,1
516,0
517,0
518,2
519,0
520,1
521,0
522,0
523,0
524,2
525,0
526,0
527,0
528,2
529,0
530,2
531,0
532,2
533,0
534,0
535,2
536,0
537,0
538,0
539,0
540,2
541,0
542,0
543,0
544,0
545,2
546,0
547,0
548,0
549,2
550,0
551,0
552,2
553,0
554,2
555,0
556,0
557,2
558,0
559,2
560,2
561,0
562,0
563,0
564,0
565,1
566,0
567,2
568,0
569,2
570,0
571,0
572,0
573,0
574,0
575,2
576,0
577,0
578,0
579,0
580,2
581,0
582,0
583,2
584,0
585,0
586,2
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,1
596,3
597,0
598,0
599,1
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,2
610,0
611,0
612,0
613,0
614,0
615,2
616,2
617,0
618,1
619,0
620,3
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,2
630,0
631,0
632,0
633,2
634,0
635,0
636,2
637,0
638,0
639,0
640,3
641,0
642,2
643,0
644,0
645,0
646,0
647,0
648,0
649,2
650,0
651,0
652,2
653,0
654,2
655,0
656,0
657,2
658,0
659,0
660,0
661,0
662,0
663,0
664,2
665,0
666,0
667,2
668,0
669,0
670,0
671,0
672,0
673,1
674,0
675,2
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,1
685,0
686,0
687,0
688,2
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,2
701,0
702,0
703,0
704,0
705,0
706,2
707,0
708,0
709,2
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,2
722,0
723,0
724,0
725,0
726,0
727,2
728,2
729,0
730,2
731,0
732,2
733,2
734,2
735,0
736,0
737,1
738,0
739,0
740,2
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,2
752,0
753,0
754,2
755,0
756,0
757,0
758,0
759,2
760,0
761,0
762,0
763,0
764,0
765,2
766,0
767,0
768,0
769,1
770,0
771,0
772,2
773,0
774,0
775,0
776,0
777,2
778,0
779,0
780,0
781,0
782,0
783,0
784,2
785,0
786,2
787,2
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,2
799,2
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,2
808,0
809,0
810,0
811,2
812,0
813,0
814,0
815,0
816,0
817,2
818,2
819,0
820,0
821,2
822,2
823,0
824,0
825,0
826,2
827,2
828,2
829,0
830,2
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,2
839,0
840,0
841,0
842,2
843,0
844,0
845,2
846,2
847,0
848,0
849,0
850,0
851,0
852,2
853,2
854,0
855,0
856,0
857,0
858,1
859,0
860,0
861,2
862,2
863,0
864,0
865,0
866,1
867,1
868,0
869,2
870,0
871,0
872,0
873,2
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,2
889,2
890,0
891,0
892,2
893,0
894,2
895,0
896,0
897,0
898,2
899,0
900,0
901,0
902,0
903,2
904,0
905,2
906,0
907,0
908,2
909,0
910,0
911,0
912,2
913,0
914,0
915,2
916,0
917,0
918,0
919,0
920,0
921,0
922,2
923,2
924,2
925,3
926,0
927,0
928,2
929,0
930,0
931,2
932,0
933,0
934,0
935,0
936,0
937,0
938,2
939,0
940,2
941,2
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,1
960,0
961,2
962,0
963,0
964,2
965,0
966,0
967,2
968,0
969,0
970,0
971,0
972,0
973,2
974,0
975,3
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,3
985,0
986,2
987,1
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,2
997,0
998,0
999,3
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,2
1007,2
1008,0
1009,3
1010,0
1011,2
1012,0
1013,0
1014,2
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,2
1026,0
1027,2
1028,0
1029,0
1030,3
1031,0
1032,0
1033,0
1034,2
1035,2
1036,0
1037,0
1038,0
1039,2
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,2
1050,0
1051,0
1052,0
1053,2
1054,0
1055,0
1056,0
1057,0
1058,0
1059,2
1060,0
1061,0
1062,3
1063,0
1064,0
1065,0
1066,0
1067,2
1068,0
1069,0
1070,0
1071,2
1072,0
1073,0
1074,3
1075,0
1076,0
1077,0
1078,0
1079,0
1080,2
1081,0
1082,2
1083,0
1084,2
1085,0
1086,2
1087,2
1088,0
1089,3
1090,2
1091,2
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,2
1108,2
1109,0
1110,0
1111,0
1112,2
1113,0
1114,0
1115,0
1116,0
1117,2
1118,2
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,2
1126,0
1127,2
1128,0
1129,2
1130,0
1131,2
1132,0
1133,0
1134,0
1135,0
1136,3
1137,2
1138,0
1139,0
1140,0
1141,2
1142,0
1143,0
1144,2
1145,0
1146,0
1147,0
1148,0
1149,2
1150,2
1151,2
1152,0
1153,2
1154,0
1155,0
1156,1
1157,2
1158,2
